Supplier_ID,Name,Contact_Info,Product_Range,Performance_Metrics
SUP01,Electronix Inc,contact@electronixinc.com,Electronics; Computers; Gadgets,Excellent
SUP02,Global Textiles,info@globaltextiles.com,Clothing; Fabrics; Accessories,Very Good
SUP03,Home Essentials,sales@homeessentials.com,Furniture; Decor; Kitchenware,Good
SUP04,FoodPro Suppliers,orders@foodprosuppliers.com,Frozen Foods; Snacks; Beverages,Average
SUP05,Gadget World,support@gadgetworld.com,Smartphones; Tablets; Accessories,Excellent
SUP06,Outdoor Equipments,outdoor@outdoorequip.com,Camping Gear; Sporting Goods,Good
SUP07,Beauty and Care,beauty@beautycare.com,Cosmetics; Skincare Products,Very Good
SUP08,Farm Fresh Produce,fresh@farmfreshproduce.com,Fruits; Vegetables; Organic Products,Excellent
SUP09,Auto Parts Central,auto@autopartscentral.com,Car Accessories; Engine Parts,Good
SUP10,PharmaSource,pharma@pharmasource.com,Pharmaceuticals; Health Supplies,Average
SUP11,QuickTech Supplies,quicktech@quicktechsupplies.com,Computer Hardware; Peripherals,Very Good
SUP12,Office Essentials,office@officeessentials.com,Office Supplies; Stationery,Good
SUP13,Power Tools Inc,tools@powertoolsinc.com,Hand Tools; Power Tools,Good
SUP14,KitchenPro,kitchen@kitchenpro.com,Kitchen Appliances; Cookware,Average
SUP15,Global Footwear,footwear@globalfootwear.com,Shoes; Boots; Sandals,Very Good
SUP16,Building Materials,building@buildingmaterials.com,Construction Materials; Fixtures,Good
SUP17,Children's Toys,toys@childrenstoys.com,Toys; Games; Educational,Excellent
SUP18,Green Grocers,green@greengrocers.com,Organic Produce; Dairy,Very Good
SUP19,Sports Mania,sports@sportsmania.com,Sportswear; Fitness Equipment,Good
SUP20,Art Supplies,art@artsupplies.com,Art Materials; Craft Supplies,Average
SUP21,Lighting Solutions,lighting@lightingsolutions.com,Light Fixtures; Bulbs; Decorative,Good
SUP22,Clean & Care,clean@cleanandcare.com,Cleaning Supplies; Sanitizers,Excellent
SUP23,Pet World,pet@petworld.com,Pet Food; Accessories,Very Good
SUP24,Luxe Furnishings,luxe@luxefurnishings.com,High-End Furniture; Decor,Good
SUP25,Global Books,books@globalbooks.com,Books; Magazines; Journals,Excellent
SUP26,Audio Systems,audio@audiosystems.com,Speakers; Headphones; Sound Systems,Very Good
SUP27,Health Essentials,health@healthessentials.com,Wellness Products; Supplements,Good
SUP28,Computer Solutions,comp@computersolutions.com,Laptops; Desktops; Software,Excellent
SUP29,Garden Goods,garden@gardengoods.com,Gardening Tools; Plants; Supplies,Very Good
SUP30,Seafood Express,seafood@seafoodexpress.com,Fresh Seafood; Frozen Fish,Excellent
SUP31,Modern Apparel,modernapparel@modern.com,Clothing; Fashion Accessories,Very Good
SUP32,Tech Innovations,innovate@techinnovations.com,Consumer Electronics; Tech Gadgets,Excellent
SUP33,Organic Harvest,harvest@organicharvest.com,Organic Foods; Natural Products,Good
SUP34,Sporting Life,sporting@sportinglife.com,Sporting Goods; Athletic Equipment,Very Good
SUP35,Toy Universe,toys@toyuniverse.com,Children's Toys; Games,Good
SUP36,Gourmet Foods,gourmet@gourmetfoods.com,Specialty Foods; Gourmet Items,Excellent
SUP37,Health & Wellness,wellness@healthwellness.com,Health Products; Nutritional Supplements,Good
SUP38,Build & Construct,build@buildconstruct.com,Building Materials; Construction Tools,Very Good
SUP39,Electronic Goods,electronics@electronicgoods.com,Home Electronics; Appliances,Good
SUP40,Furniture Works,furniture@furnitureworks.com,Home Furniture; Office Furnishings,Excellent
SUP41,Green Energy,greenenergy@green.com,Sustainable Energy Products; Solar Panels,Very Good
SUP42,Auto World,auto@autoworld.com,Automotive Parts; Car Accessories,Good
SUP43,Pet Care Supplies,petcare@petcaresupplies.com,Pet Food; Pet Care Products,Excellent
SUP44,Fashion House,fashion@fashionhouse.com,Designer Clothing; Fashion Accessories,Very Good
SUP45,Outdoor Adventures,outdoor@outdooradventures.com,Outdoor Gear; Camping Equipment,Good
SUP46,Kitchen Experts,kitchen@kitchenexperts.com,Kitchen Appliances; Cookware,Good
SUP47,Beauty Boutique,beauty@beautyboutique.com,Cosmetics; Skincare Products,Excellent
SUP48,Book World,books@bookworld.com,Books; Educational Materials,Good
SUP49,Home Decor,decor@homedecor.com,Interior Decor; Furniture,Very Good
