Product_ID,Name,Category,Sub-category,Supplier_ID,Cost,Product Specifications,Ratings,Reviews
P00001,Electronix Smartphone,Electronics,Smartphones,SUP01,299.99,"64GB, 5G capable",4.5,Excellent performance
P00002,Global Textile Jacket,Clothing,Outerwear,SUP02,79.99,"Water-resistant, Size: M",4.2,Comfortable and stylish
P00003,Elegant Sofa,Home Goods,Furniture,SUP03,499.99,"Leather, 3-seater",4.1,Durable and elegant
P00004,Quick Freeze Refrigerator,Appliances,Kitchen,SUP04,349.99,"200L, Energy-efficient",3.8,Spacious and efficient
P00005,Gadget Tablet,Electronics,Tablets,SUP05,199.99,"10-inch screen, 32GB",4.4,User-friendly and fast
P00006,Adventure Tent,Outdoor,Camping,SUP06,99.99,"4-person, Waterproof",4.3,Easy setup and robust
P00007,Luxe Moisturizer,Beauty,Cosmetics,SUP07,29.99,"50ml, Anti-aging",4.6,Nourishing and effective
P00008,Organic Apples,Grocery,Fruits,SUP08,2.99,"Fresh, 1 lb",4.7,Crisp and juicy
P00009,Auto Brake Pads,Auto,Parts,SUP09,39.99,"For sedans, High durability",4.2,Reliable performance
P00010,Pharma Pain Reliever,Health,Pharmaceuticals,SUP10,9.99,"500mg, Pack of 20",4.8,Fast relief
P00011,Tech USB Drive,Electronics,Accessories,SUP11,19.99,"32GB, USB 3.0",4.5,Fast and portable
P00012,Office Chair,Office,Furniture,SUP12,129.99,"Ergonomic, Adjustable",4.1,Comfortable for long hours
P00013,Power Drill,Tools,Power Tools,SUP13,89.99,"Cordless, 18V",4.3,Powerful and efficient
P00014,Kitchen Blender,Appliances,Kitchenware,SUP14,49.99,"500W, Glass jar",4.0,Easy to use and clean
P00015,Sports Sneakers,Clothing,Footwear,SUP15,59.99,"Running, Size 10",4.4,Lightweight and comfortable
P00016,Construction Helmet,Industrial,Safety,SUP16,24.99,"Impact-resistant, Adjustable",4.6,Safe and durable
P00017,Kids Puzzle,Toys,Games,SUP17,14.99,"100 pieces, Ages 3+",4.5,Fun and educational
P00018,Organic Milk,Grocery,Dairy,SUP18,3.99,"1 gallon, Grass-fed",4.7,Fresh and creamy
P00019,Athletic T-shirt,Clothing,Sportswear,SUP19,19.99,"Breathable fabric, Size: L",4.3,Stylish and comfortable
P00020,Art Canvas,Arts,Crafts,SUP20,7.99,"16x20 inches, Cotton",4.2,High quality
P00021,LED Bulbs,Home Goods,Lighting,SUP21,4.99,"10W, Energy-saving",4.8,Bright and long-lasting
P00022,Sanitizer Spray,Health,Hygiene,SUP22,5.99,"500ml, Kills 99.9% germs",4.6,Effective and gentle
P00023,Dog Food,Pets,Food,SUP23,29.99,"20 lb, Chicken flavor",4.4,Nutritious and tasty
P00024,Luxury Armchair,Home Goods,Furniture,SUP24,399.99,"Velvet, Comfortable",4.5,Elegant design
P00025,Best Seller Novel,Books,Fiction,SUP25,14.99,"Paperback, 300 pages",4.7,Captivating story
